Instancia;Tarefas Finalizadas;Tarefas não finalizads;Trocas;Instancias de troca;Soluções Iniciais;Soluções Final;Soluções Final Real;Tempo;PTL
instance586_m=3_n=15_l=15_c=10_s=0;14,0;1,0;19,0;8,0;0;-439,0;291,0;0,0;0
instance587_m=3_n=15_l=15_c=10_s=1;14,0;1,0;19,0;8,0;0;-439,0;291,0;0,0;0
instance588_m=3_n=15_l=15_c=10_s=2;14,0;1,0;19,0;8,0;0;-439,0;291,0;0,0;0
instance589_m=3_n=15_l=15_c=10_s=0;13,0;2,0;18,0;9,0;0;-408,0;222,0;0,0;0
instance590_m=3_n=15_l=15_c=10_s=1;13,0;2,0;18,0;9,0;0;-408,0;222,0;0,0;0
instance591_m=3_n=15_l=15_c=10_s=2;13,0;2,0;18,0;9,0;0;-408,0;222,0;0,0;0
instance592_m=3_n=15_l=15_c=10_s=0;13,0;2,0;19,0;8,0;0;-409,0;231,0;0,0;0
instance593_m=3_n=15_l=15_c=10_s=1;13,0;2,0;19,0;8,0;0;-409,0;231,0;0,0;0
instance594_m=3_n=15_l=15_c=10_s=2;13,0;2,0;19,0;8,0;0;-409,0;231,0;0,0;0
instance595_m=3_n=15_l=15_c=10_s=0;13,0;2,0;22,0;10,0;0;-412,0;208,0;0,0;0
instance596_m=3_n=15_l=15_c=10_s=1;13,0;2,0;22,0;10,0;0;-412,0;208,0;0,0;0
instance597_m=3_n=15_l=15_c=10_s=2;13,0;2,0;22,0;10,0;0;-412,0;208,0;0,0;0
instance598_m=3_n=15_l=15_c=10_s=0;14,0;1,0;21,0;9,0;0;-441,0;279,0;0,0;0
instance599_m=3_n=15_l=15_c=10_s=1;14,0;1,0;21,0;9,0;0;-441,0;279,0;0,0;0
instance600_m=3_n=15_l=15_c=10_s=2;14,0;1,0;21,0;9,0;0;-441,0;279,0;0,0;0
instance601_m=3_n=15_l=20_c=8_s=0;13,0;2,0;13,0;7,0;0;-403,0;247,0;0,0;0
instance602_m=3_n=15_l=20_c=8_s=1;13,0;2,0;13,0;7,0;0;-403,0;247,0;0,0;0
instance603_m=3_n=15_l=20_c=8_s=2;13,0;2,0;13,0;7,0;0;-403,0;247,0;0,0;0
instance604_m=3_n=15_l=20_c=8_s=0;14,0;1,0;22,0;10,0;0;-442,0;268,0;0,0;0
instance605_m=3_n=15_l=20_c=8_s=1;14,0;1,0;22,0;10,0;0;-442,0;268,0;0,0;0
instance606_m=3_n=15_l=20_c=8_s=2;14,0;1,0;22,0;10,0;0;-442,0;268,0;0,0;0
instance607_m=3_n=15_l=20_c=8_s=0;13,0;2,0;17,0;9,0;0;-407,0;223,0;0,0;0
instance608_m=3_n=15_l=20_c=8_s=1;13,0;2,0;17,0;9,0;0;-407,0;223,0;0,0;0
instance609_m=3_n=15_l=20_c=8_s=2;13,0;2,0;17,0;9,0;0;-407,0;223,0;0,0;0
instance610_m=3_n=15_l=20_c=8_s=0;13,0;2,0;13,0;6,0;0;-403,0;257,0;0,0;0
instance611_m=3_n=15_l=20_c=8_s=1;13,0;2,0;13,0;6,0;0;-403,0;257,0;0,0;0
instance612_m=3_n=15_l=20_c=8_s=2;13,0;2,0;13,0;6,0;0;-403,0;257,0;0,0;0
instance613_m=3_n=15_l=20_c=8_s=0;14,0;1,0;21,0;8,0;0;-441,0;289,0;0,0;0
instance614_m=3_n=15_l=20_c=8_s=1;14,0;1,0;21,0;8,0;0;-441,0;289,0;0,0;0
instance615_m=3_n=15_l=20_c=8_s=2;14,0;1,0;21,0;8,0;0;-441,0;289,0;0,0;0
instance616_m=3_n=15_l=20_c=8_s=0;14,0;1,0;21,0;8,0;0;-441,0;289,0;0,0;0
instance617_m=3_n=15_l=20_c=8_s=1;14,0;1,0;21,0;8,0;0;-441,0;289,0;0,0;0
instance618_m=3_n=15_l=20_c=8_s=2;14,0;1,0;21,0;8,0;0;-441,0;289,0;0,0;0
instance619_m=3_n=15_l=20_c=8_s=0;14,0;1,0;19,0;9,0;0;-439,0;281,0;0,0;0
instance620_m=3_n=15_l=20_c=8_s=1;14,0;1,0;19,0;9,0;0;-439,0;281,0;0,0;0
instance621_m=3_n=15_l=20_c=8_s=2;14,0;1,0;19,0;9,0;0;-439,0;281,0;0,0;0
instance622_m=3_n=15_l=20_c=8_s=0;13,0;2,0;21,0;7,0;0;-411,0;239,0;0,0;0
instance623_m=3_n=15_l=20_c=8_s=1;13,0;2,0;21,0;7,0;0;-411,0;239,0;0,0;0
instance624_m=3_n=15_l=20_c=8_s=2;13,0;2,0;21,0;7,0;0;-411,0;239,0;0,0;0
instance625_m=3_n=15_l=20_c=8_s=0;14,0;1,0;14,0;9,0;0;-434,0;286,0;0,0;0
instance626_m=3_n=15_l=20_c=8_s=1;14,0;1,0;14,0;9,0;0;-434,0;286,0;0,0;0
instance627_m=3_n=15_l=20_c=8_s=2;14,0;1,0;14,0;9,0;0;-434,0;286,0;0,0;0
instance628_m=3_n=15_l=20_c=8_s=0;13,0;2,0;16,0;8,0;0;-406,0;234,0;0,0;0
instance629_m=3_n=15_l=20_c=8_s=1;13,0;2,0;16,0;8,0;0;-406,0;234,0;0,0;0
instance630_m=3_n=15_l=20_c=8_s=2;13,0;2,0;16,0;8,0;0;-406,0;234,0;0,0;0
instance631_m=3_n=15_l=20_c=12_s=0;14,0;1,0;7,0;3,0;0;-427,0;353,0;0,0;0
instance632_m=3_n=15_l=20_c=12_s=1;14,0;1,0;7,0;3,0;0;-427,0;353,0;0,0;0
instance633_m=3_n=15_l=20_c=12_s=2;14,0;1,0;7,0;3,0;0;-427,0;353,0;0,0;0
instance634_m=3_n=15_l=20_c=12_s=0;13,0;2,0;4,0;2,0;0;-394,0;306,0;0,0;0
instance635_m=3_n=15_l=20_c=12_s=1;13,0;2,0;4,0;2,0;0;-394,0;306,0;0,0;0
instance636_m=3_n=15_l=20_c=12_s=2;13,0;2,0;4,0;2,0;0;-394,0;306,0;0,0;0
instance637_m=3_n=15_l=20_c=12_s=0;13,0;2,0;7,0;5,0;0;-397,0;273,0;0,0;0
instance638_m=3_n=15_l=20_c=12_s=1;13,0;2,0;7,0;5,0;0;-397,0;273,0;0,0;0
instance639_m=3_n=15_l=20_c=12_s=2;13,0;2,0;7,0;5,0;0;-397,0;273,0;0,0;0
instance640_m=3_n=15_l=20_c=12_s=0;14,0;1,0;3,0;2,0;0;-423,0;367,0;0,0;0
instance641_m=3_n=15_l=20_c=12_s=1;14,0;1,0;3,0;2,0;0;-423,0;367,0;0,0;0
instance642_m=3_n=15_l=20_c=12_s=2;14,0;1,0;3,0;2,0;0;-423,0;367,0;0,0;0
instance643_m=3_n=15_l=20_c=12_s=0;13,0;2,0;5,0;5,0;0;-395,0;275,0;0,0;0
instance644_m=3_n=15_l=20_c=12_s=1;13,0;2,0;5,0;5,0;0;-395,0;275,0;0,0;0
instance645_m=3_n=15_l=20_c=12_s=2;13,0;2,0;5,0;5,0;0;-395,0;275,0;0,0;0
instance646_m=3_n=15_l=20_c=12_s=0;14,0;1,0;6,0;5,0;0;-426,0;334,0;0,0;0
instance647_m=3_n=15_l=20_c=12_s=1;14,0;1,0;6,0;5,0;0;-426,0;334,0;0,0;0
instance648_m=3_n=15_l=20_c=12_s=2;14,0;1,0;6,0;5,0;0;-426,0;334,0;0,0;0
instance649_m=3_n=15_l=20_c=12_s=0;14,0;1,0;7,0;3,0;0;-427,0;353,0;0,0;0
instance650_m=3_n=15_l=20_c=12_s=1;14,0;1,0;7,0;3,0;0;-427,0;353,0;0,0;0
instance651_m=3_n=15_l=20_c=12_s=2;14,0;1,0;7,0;3,0;0;-427,0;353,0;0,0;0
instance652_m=3_n=15_l=20_c=12_s=0;14,0;1,0;6,0;3,0;0;-426,0;354,0;0,0;0
instance653_m=3_n=15_l=20_c=12_s=1;14,0;1,0;6,0;3,0;0;-426,0;354,0;0,0;0
instance654_m=3_n=15_l=20_c=12_s=2;14,0;1,0;6,0;3,0;0;-426,0;354,0;0,0;0
instance655_m=3_n=15_l=20_c=12_s=0;13,0;2,0;5,0;2,0;0;-395,0;305,0;0,0;0
instance656_m=3_n=15_l=20_c=12_s=1;13,0;2,0;5,0;2,0;0;-395,0;305,0;0,0;0
instance657_m=3_n=15_l=20_c=12_s=2;13,0;2,0;5,0;2,0;0;-395,0;305,0;0,0;0
instance658_m=3_n=15_l=20_c=12_s=0;14,0;1,0;5,0;3,0;0;-425,0;355,0;0,0;0
instance659_m=3_n=15_l=20_c=12_s=1;14,0;1,0;5,0;3,0;0;-425,0;355,0;0,0;0
instance660_m=3_n=15_l=20_c=12_s=2;14,0;1,0;5,0;3,0;0;-425,0;355,0;0,0;0
instance661_m=3_n=15_l=20_c=15_s=0;13,0;2,0;0,0;0,0;0;-390,0;330,0;0,0;0
instance662_m=3_n=15_l=20_c=15_s=1;13,0;2,0;0,0;0,0;0;-390,0;330,0;0,0;0
