Instancia;Tarefas Finalizadas;Tarefas não finalizads;Trocas;Instancias de troca;Soluções Iniciais;Soluções Final;Soluções Final Real;Tempo;PTL
instanceLarge1207_m=9_n=200_l=30_c=10_s=0;200,0;0,0;292,1;164,5;-547,1;-292,1;4062,9;34,6983;95,3
instanceLarge1208_m=9_n=200_l=30_c=10_s=1;200,0;0,0;286,0;162,5;-531,9;-286,0;4089,0;34,7117;95,6
instanceLarge1209_m=9_n=200_l=30_c=10_s=2;200,0;0,0;288,3;162,8;-541,2;-288,3;4083,7;34,7223;96,7
instanceLarge1210_m=9_n=200_l=30_c=10_s=0;200,0;0,0;311,3;167,4;-577,1;-311,3;4014,7;34,6626;95,3
instanceLarge1211_m=9_n=200_l=30_c=10_s=1;200,0;0,0;283,0;163,5;-535,8;-283,0;4082,0;34,6884;96,7
instanceLarge1212_m=9_n=200_l=30_c=10_s=2;200,0;0,0;297,9;162,8;-560,0;-297,9;4074,1;34,6608;95,8
instanceLarge1213_m=9_n=200_l=30_c=10_s=0;199,0;1,0;304,8;168,6;-598,0;-334,8;3949,2;34,6863;97,2
instanceLarge1214_m=9_n=200_l=30_c=10_s=1;200,0;0,0;283,8;162,7;-538,1;-283,8;4089,2;34,6853;94,9
instanceLarge1215_m=9_n=200_l=30_c=10_s=2;200,0;0,0;300,8;166,8;-557,2;-300,8;4031,2;34,6483;96,1
instanceLarge1216_m=9_n=200_l=30_c=10_s=0;200,0;0,0;283,9;162,9;-536,1;-283,9;4087,1;34,6623;94,9
instanceLarge1217_m=9_n=200_l=30_c=10_s=1;190,0;10,0;289,5;159,1;-888,7;-589,5;3519,5;34,5963;95,1
instanceLarge1218_m=9_n=200_l=30_c=10_s=2;200,0;0,0;299,1;166,2;-550,3;-299,1;4038,9;34,7053;96,7
instanceLarge1219_m=9_n=200_l=30_c=10_s=0;200,0;0,0;287,7;162,4;-545,6;-287,7;4088,3;34,6989;97,2
instanceLarge1220_m=9_n=200_l=30_c=10_s=1;199,0;1,0;302,0;165,0;-593,9;-332,0;3988,0;34,6279;96,2
instanceLarge1221_m=9_n=200_l=30_c=10_s=2;200,0;0,0;289,7;162,2;-543,4;-289,7;4088,3;34,6224;95,3
instanceLarge1222_m=9_n=200_l=30_c=10_s=0;200,0;0,0;280,2;161,8;-538,1;-280,2;4101,8;34,69;96,0
instanceLarge1223_m=9_n=200_l=30_c=10_s=1;198,0;2,0;303,9;166,6;-623,9;-363,9;3910,1;34,6219;95,9
instanceLarge1224_m=9_n=200_l=30_c=10_s=2;200,0;0,0;294,5;164,1;-548,2;-294,5;4064,5;34,6365;96,6
instanceLarge1225_m=9_n=200_l=30_c=10_s=0;200,0;0,0;283,1;161,4;-538,3;-283,1;4102,9;34,6501;96,7
instanceLarge1226_m=9_n=200_l=30_c=10_s=1;200,0;0,0;283,6;164,0;-540,0;-283,6;4076,4;34,6318;97,1
instanceLarge1227_m=9_n=200_l=30_c=10_s=2;200,0;0,0;298,0;165,2;-570,1;-298,0;4050,0;34,5802;95,9
instanceLarge1228_m=9_n=200_l=30_c=10_s=0;200,0;0,0;282,0;162,3;-540,5;-282,0;4095,0;34,6746;96,5
instanceLarge1229_m=9_n=200_l=30_c=10_s=1;199,9;0,1;318,5;167,0;-578,0;-321,5;4005,5;34,707;95,7
instanceLarge1230_m=9_n=200_l=30_c=10_s=2;200,0;0,0;304,5;167,4;-562,1;-304,5;4021,5;34,6648;97,1
instanceLarge1231_m=9_n=200_l=30_c=20_s=0;200,0;0,0;368,3;175,2;-666,8;-368,3;3879,7;35,3866;96,5
instanceLarge1232_m=9_n=200_l=30_c=20_s=1;192,0;8,0;364,9;169,1;-923,3;-604,9;3464,1;35,4293;98,2
instanceLarge1233_m=9_n=200_l=30_c=20_s=2;200,0;0,0;370,0;176,6;-671,3;-370,0;3864,0;35,3939;95,5
instanceLarge1234_m=9_n=200_l=30_c=20_s=0;200,0;0,0;363,4;174,4;-662,3;-363,4;3892,6;35,4346;95,6
instanceLarge1235_m=9_n=200_l=30_c=20_s=1;200,0;0,0;361,7;173,3;-657,9;-361,7;3905,3;35,4251;96,3
instanceLarge1236_m=9_n=200_l=30_c=20_s=2;200,0;0,0;379,5;175,9;-692,7;-379,5;3861,5;35,2895;94,4
instanceLarge1237_m=9_n=200_l=30_c=20_s=0;200,0;0,0;363,3;176,1;-664,8;-363,3;3875,7;35,4119;94,7
instanceLarge1238_m=9_n=200_l=30_c=20_s=1;200,0;0,0;360,9;174,7;-660,0;-360,9;3892,1;35,3495;95,1
instanceLarge1239_m=9_n=200_l=30_c=20_s=2;200,0;0,0;371,0;177,7;-663,1;-371,0;3852,0;35,2198;95,3
instanceLarge1240_m=9_n=200_l=30_c=20_s=0;200,0;0,0;360,8;176,1;-663,7;-360,8;3878,2;35,4252;95,3
instanceLarge1241_m=9_n=200_l=30_c=20_s=1;200,0;0,0;364,4;175,7;-656,3;-364,4;3878,6;35,3725;95,9
instanceLarge1242_m=9_n=200_l=30_c=20_s=2;200,0;0,0;367,6;175,9;-664,1;-367,6;3873,4;35,564;97,4
instanceLarge1243_m=9_n=200_l=30_c=20_s=0;200,0;0,0;364,5;175,6;-658,2;-364,5;3879,5;35,6136;94,8
instanceLarge1244_m=9_n=200_l=30_c=20_s=1;200,0;0,0;363,1;174,8;-662,5;-363,1;3888,9;35,4819;95,1
instanceLarge1245_m=9_n=200_l=30_c=20_s=2;200,0;0,0;364,6;173,4;-654,7;-364,6;3901,4;35,5026;95,8
instanceLarge1246_m=9_n=200_l=30_c=20_s=0;195,0;5,0;377,9;171,9;-837,3;-527,9;3603,1;35,2155;95,4
instanceLarge1247_m=9_n=200_l=30_c=20_s=1;186,0;14,0;357,5;163,0;-1161,3;-777,5;3172,5;35,462;96,0
instanceLarge1248_m=9_n=200_l=30_c=20_s=2;200,0;0,0;391,1;175,9;-696,0;-391,1;3849,9;35,2741;95,8
instanceLarge1249_m=9_n=200_l=30_c=20_s=0;200,0;0,0;364,8;175,0;-663,5;-364,8;3885,2;35,4133;95,5
instanceLarge1250_m=9_n=200_l=30_c=20_s=1;198,0;2,0;384,7;175,4;-752,5;-444,7;3741,3;35,3528;96,5
instanceLarge1251_m=9_n=200_l=30_c=20_s=2;200,0;0,0;377,3;177,2;-677,1;-377,3;3850,7;35,3579;95,7
instanceLarge1252_m=9_n=200_l=30_c=20_s=0;196,0;4,0;379,6;174,8;-807,5;-499,6;3632,4;35,3043;95,8
instanceLarge1253_m=9_n=200_l=30_c=20_s=1;198,4;1,6;383,8;174,9;-736,1;-431,8;3771,2;35,4098;95,9
instanceLarge1254_m=9_n=200_l=30_c=20_s=2;200,0;0,0;369,7;175,2;-664,8;-369,7;3878,3;35,3496;96,5
instanceLarge1255_m=9_n=200_l=30_c=20_s=0;198,0;2,0;396,5;176,7;-757,1;-456,5;3716,5;35,3269;95,0
instanceLarge1256_m=9_n=200_l=30_c=20_s=1;190,6;9,4;370,6;167,1;-969,5;-652,6;3394,4;35,4605;97,7
instanceLarge1257_m=9_n=200_l=30_c=20_s=2;200,0;0,0;364,1;173,4;-664,0;-364,1;3901,9;35,354;97,0
instanceLarge1258_m=9_n=200_l=30_c=20_s=0;200,0;0,0;368,4;176,0;-657,9;-368,4;3871,6;35,4033;96,8
instanceLarge1259_m=9_n=200_l=30_c=20_s=1;191,1;8,9;363,8;169,3;-963,4;-630,8;3409,2;35,4876;95,7
instanceLarge1260_m=9_n=200_l=30_c=20_s=2;200,0;0,0;364,7;174,8;-669,2;-364,7;3887,3;35,3969;95,1
instanceLarge1261_m=9_n=200_l=40_c=20_s=0;200,0;0,0;362,8;165,3;-650,4;-362,8;3984,2;38,8789;97,2
instanceLarge1262_m=9_n=200_l=40_c=20_s=1;194,6;5,4;376,9;161,5;-837,9;-538,9;3684,1;38,7244;96,7
instanceLarge1263_m=9_n=200_l=40_c=20_s=2;200,0;0,0;355,4;162,8;-648,8;-355,4;4016,6;38,8514;96,8
instanceLarge1264_m=9_n=200_l=40_c=20_s=0;195,8;4,2;374,1;162,1;-805,8;-500,1;3752,9;38,6707;95,8
instanceLarge1265_m=9_n=200_l=40_c=20_s=1;200,0;0,0;368,4;165,4;-657,7;-368,4;3977,6;38,7942;97,3
instanceLarge1266_m=9_n=200_l=40_c=20_s=2;200,0;0,0;362,6;163,1;-651,9;-362,6;4006,4;38,7491;95,7
instanceLarge1267_m=9_n=200_l=40_c=20_s=0;200,0;0,0;355,3;163,9;-650,3;-355,3;4005,7;38,8721;95,9
instanceLarge1268_m=9_n=200_l=40_c=20_s=1;195,0;5,0;369,8;161,3;-827,8;-519,8;3717,2;38,7714;95,0
instanceLarge1269_m=9_n=200_l=40_c=20_s=2;200,0;0,0;358,1;161,5;-655,0;-358,1;4026,9;38,8313;95,6
instanceLarge1270_m=9_n=200_l=40_c=20_s=0;200,0;0,0;355,9;163,9;-648,8;-355,9;4005,1;38,7801;97,6
instanceLarge1271_m=9_n=200_l=40_c=20_s=1;200,0;0,0;357,1;163,8;-646,0;-357,1;4004,9;38,7688;95,8
instanceLarge1272_m=9_n=200_l=40_c=20_s=2;200,0;0,0;367,8;163,5;-656,1;-367,8;3997,2;38,875;95,3
instanceLarge1273_m=9_n=200_l=40_c=20_s=0;200,0;0,0;389,5;167,6;-693,3;-389,5;3934,5;38,8053;95,7
instanceLarge1274_m=9_n=200_l=40_c=20_s=1;197,6;2,4;377,8;164,7;-743,3;-449,8;3831,2;38,7678;96,2
instanceLarge1275_m=9_n=200_l=40_c=20_s=2;200,0;0,0;358,3;164,5;-654,5;-358,3;3996,7;38,7901;97,0
instanceLarge1276_m=9_n=200_l=40_c=20_s=0;200,0;0,0;357,2;163,9;-645,6;-357,2;4003,8;39,813;95,3
instanceLarge1277_m=9_n=200_l=40_c=20_s=1;200,0;0,0;356,0;162,0;-648,2;-356,0;4024,0;38,7361;97,2
instanceLarge1278_m=9_n=200_l=40_c=20_s=2;200,0;0,0;356,9;162,8;-648,4;-356,9;4015,1;38,7727;93,8
instanceLarge1279_m=9_n=200_l=40_c=20_s=0;200,0;0,0;356,0;163,3;-646,5;-356,0;4011,0;38,685;94,7
instanceLarge1280_m=9_n=200_l=40_c=20_s=1;200,0;0,0;359,7;161,8;-650,0;-359,7;4022,3;38,746;92,2
instanceLarge1281_m=9_n=200_l=40_c=20_s=2;200,0;0,0;361,8;162,3;-652,7;-361,8;4015,2;38,7849;94,9
instanceLarge1282_m=9_n=200_l=40_c=20_s=0;200,0;0,0;356,2;162,2;-648,2;-356,2;4021,8;38,6886;94,5
instanceLarge1283_m=9_n=200_l=40_c=20_s=1;200,0;0,0;359,4;162,1;-648,3;-359,4;4019,6;38,7655;95,8
instanceLarge1284_m=9_n=200_l=40_c=20_s=2;200,0;0,0;365,3;161,8;-653,3;-365,3;4016,7;39,0083;97,6
instanceLarge1285_m=9_n=200_l=40_c=20_s=0;200,0;0,0;367,0;164,6;-662,5;-367,0;3987,0;38,8056;95,1
instanceLarge1286_m=9_n=200_l=40_c=20_s=1;200,0;0,0;370,7;163,1;-671,4;-370,7;3998,3;38,7746;95,5
instanceLarge1287_m=9_n=200_l=40_c=20_s=2;200,0;0,0;375,3;165,8;-663,4;-375,3;3966,7;38,7979;96,7
instanceLarge1288_m=9_n=200_l=40_c=20_s=0;200,0;0,0;356,5;163,6;-647,1;-356,5;4007,5;38,6359;95,4
instanceLarge1289_m=9_n=200_l=40_c=20_s=1;197,0;3,0;370,9;162,7;-759,5;-460,9;3822,1;38,7009;96,5
instanceLarge1290_m=9_n=200_l=40_c=20_s=2;200,0;0,0;362,7;161,3;-651,5;-362,7;4024,3;38,7068;96,0
instanceLarge1291_m=9_n=200_l=40_c=30_s=0;193,8;6,2;533,6;180,9;-1072,0;-719,6;3285,4;35,3417;96,6
instanceLarge1292_m=9_n=200_l=40_c=30_s=1;200,0;0,0;523,2;186,9;-869,1;-523,2;3607,8;35,2443;95,1
instanceLarge1293_m=9_n=200_l=40_c=30_s=2;200,0;0,0;522,9;188,3;-869,3;-522,9;3594,1;35,3599;96,5
instanceLarge1294_m=9_n=200_l=40_c=30_s=0;200,0;0,0;518,4;186,9;-873,0;-518,4;3612,6;35,2467;95,0
instanceLarge1295_m=9_n=200_l=40_c=30_s=1;195,1;4,9;527,1;182,9;-1025,0;-674,1;3349,9;35,328;95,5
instanceLarge1296_m=9_n=200_l=40_c=30_s=2;200,0;0,0;526,5;187,0;-878,7;-526,5;3603,5;35,2198;95,8
instanceLarge1297_m=9_n=200_l=40_c=30_s=0;200,0;0,0;521,8;185,7;-866,3;-521,8;3621,2;35,3229;96,7
instanceLarge1298_m=9_n=200_l=40_c=30_s=1;200,0;0,0;521,5;187,2;-874,0;-521,5;3606,5;35,2752;97,6
instanceLarge1299_m=9_n=200_l=40_c=30_s=2;200,0;0,0;529,3;187,6;-876,4;-529,3;3594,7;35,3076;96,4
instanceLarge1300_m=9_n=200_l=40_c=30_s=0;200,0;0,0;525,2;186,7;-876,4;-525,2;3607,8;35,447;97,3
instanceLarge1301_m=9_n=200_l=40_c=30_s=1;200,0;0,0;522,8;186,7;-867,1;-522,8;3610,2;35,4818;96,1
instanceLarge1302_m=9_n=200_l=40_c=30_s=2;200,0;0,0;519,9;186,3;-873,6;-519,9;3617,1;35,4602;96,2
instanceLarge1303_m=9_n=200_l=40_c=30_s=0;200,0;0,0;519,4;186,3;-873,7;-519,4;3617,6;35,2964;94,9
instanceLarge1304_m=9_n=200_l=40_c=30_s=1;197,0;3,0;539,4;184,1;-987,9;-629,4;3439,6;35,4275;96,7
instanceLarge1305_m=9_n=200_l=40_c=30_s=2;200,0;0,0;530,2;186,3;-877,9;-530,2;3606,8;35,2403;96,4
instanceLarge1306_m=9_n=200_l=40_c=30_s=0;200,0;0,0;517,5;185,4;-867,9;-517,5;3628,5;35,4377;95,2
instanceLarge1307_m=9_n=200_l=40_c=30_s=1;200,0;0,0;517,5;186,8;-866,3;-517,5;3614,5;35,4197;95,5
instanceLarge1308_m=9_n=200_l=40_c=30_s=2;200,0;0,0;529,5;185,6;-880,1;-529,5;3614,5;35,2585;95,9
instanceLarge1309_m=9_n=200_l=40_c=30_s=0;197,0;3,0;542,5;185,6;-988,7;-632,5;3421,5;35,3777;96,9
instanceLarge1310_m=9_n=200_l=40_c=30_s=1;198,0;2,0;542,2;185,0;-948,6;-602,2;3487,8;35,4138;94,6
instanceLarge1311_m=9_n=200_l=40_c=30_s=2;200,0;0,0;520,6;187,5;-864,0;-520,6;3604,4;35,2964;97,4
instanceLarge1312_m=9_n=200_l=40_c=30_s=0;200,0;0,0;520,9;188,1;-873,3;-520,9;3598,1;35,5252;95,2
instanceLarge1313_m=9_n=200_l=40_c=30_s=1;200,0;0,0;520,2;186,4;-869,6;-520,2;3615,8;35,545;96,4
instanceLarge1314_m=9_n=200_l=40_c=30_s=2;200,0;0,0;520,2;186,9;-873,0;-520,2;3610,8;35,261;96,1
instanceLarge1315_m=9_n=200_l=40_c=30_s=0;192,3;7,7;522,6;179,4;-1107,8;-753,6;3221,4;35,4546;96,5
instanceLarge1316_m=9_n=200_l=40_c=30_s=1;200,0;0,0;520,1;186,4;-868,6;-520,1;3615,9;35,4475;96,5
instanceLarge1317_m=9_n=200_l=40_c=30_s=2;200,0;0,0;523,0;187,3;-868,7;-523,0;3604,0;35,2725;95,1
instanceLarge1318_m=9_n=200_l=40_c=30_s=0;200,0;0,0;519,3;186,7;-870,6;-519,3;3613,7;35,3037;96,1
instanceLarge1319_m=9_n=200_l=40_c=30_s=1;200,0;0,0;529,0;187,7;-878,0;-529,0;3594,0;35,2586;96,4
instanceLarge1320_m=9_n=200_l=40_c=30_s=2;200,0;0,0;522,3;186,0;-874,8;-522,3;3617,7;35,2266;97,1
instanceLarge1321_m=10_n=200_l=30_c=10_s=0;200,0;0,0;269,3;156,7;-519,7;-269,3;4163,7;38,1391;96,6
instanceLarge1322_m=10_n=200_l=30_c=10_s=1;200,0;0,0;270,6;161,3;-518,4;-270,6;4116,4;38,1843;94,6
instanceLarge1323_m=10_n=200_l=30_c=10_s=2;200,0;0,0;273,2;159,4;-520,2;-273,2;4132,8;38,2639;95,3
instanceLarge1324_m=10_n=200_l=30_c=10_s=0;196,0;4,0;287,9;161,3;-665,5;-407,9;3859,1;38,1874;96,1
instanceLarge1325_m=10_n=200_l=30_c=10_s=1;200,0;0,0;269,1;158,8;-523,0;-269,1;4142,9;38,0792;95,7
instanceLarge1326_m=10_n=200_l=30_c=10_s=2;200,0;0,0;276,2;162,7;-528,3;-276,2;4096,8;38,3868;93,1
instanceLarge1327_m=10_n=200_l=30_c=10_s=0;200,0;0,0;297,5;164,0;-559,9;-297,5;4062,5;38,1894;96,2
instanceLarge1328_m=10_n=200_l=30_c=10_s=1;194,0;6,0;285,5;158,3;-728,0;-465,5;3771,5;38,2009;95,3
instanceLarge1329_m=10_n=200_l=30_c=10_s=2;200,0;0,0;274,6;160,9;-519,3;-274,6;4116,4;38,3513;94,0
instanceLarge1330_m=10_n=200_l=30_c=10_s=0;200,0;0,0;268,7;157,5;-521,7;-268,7;4156,3;38,1173;96,5
instanceLarge1331_m=10_n=200_l=30_c=10_s=1;200,0;0,0;289,2;162,0;-555,3;-289,2;4090,8;38,2421;96,7
instanceLarge1332_m=10_n=200_l=30_c=10_s=2;199,9;0,1;302,6;165,8;-556,7;-305,6;4033,4;38,2206;96,7
instanceLarge1333_m=10_n=200_l=30_c=10_s=0;196,0;4,0;298,3;162,4;-680,9;-418,3;3837,7;38,2013;96,8
